snapshot_date,store_id,product_id,opening_stock,units_sold,closing_stock,stockout_flag,excess_stock_flag
2026-01-01,S001,P0001,29,0,29,False,False
2026-01-01,S001,P0002,38,0,38,False,False
2026-01-01,S001,P0003,46,0,46,False,False
2026-01-01,S001,P0004,41,0,41,False,False
2026-01-01,S001,P0005,36,0,36,False,False
2026-01-01,S001,P0006,26,0,26,False,False
2026-01-01,S001,P0007,36,0,36,False,False
2026-01-01,S001,P0008,26,0,26,False,False
2026-01-01,S001,P0009,35,0,35,False,False
2026-01-01,S001,P0010,30,0,30,False,False
2026-01-01,S001,P0011,31,0,31,False,False
2026-01-01,S001,P0012,29,0,29,False,False
2026-01-01,S001,P0013,41,0,41,False,False
2026-01-01,S001,P0014,30,0,30,False,False
2026-01-01,S001,P0015,40,0,40,False,False
2026-01-01,S001,P0016,27,0,27,False,False
2026-01-01,S001,P0017,36,0,36,False,False
2026-01-01,S001,P0018,27,0,27,False,False
2026-01-01,S001,P0019,28,0,28,False,False
2026-01-01,S001,P0020,34,0,34,False,False
2026-01-01,S001,P0021,43,0,43,False,False
2026-01-01,S001,P0022,35,0,35,False,False
2026-01-01,S001,P0023,41,0,41,False,False
2026-01-01,S001,P0024,26,0,26,False,False
2026-01-01,S001,P0025,28,1,27,False,False
2026-01-01,S001,P0026,34,0,34,False,False
2026-01-01,S001,P0027,36,0,36,False,False
2026-01-01,S001,P0028,36,0,36,False,False
2026-01-01,S001,P0029,41,0,41,False,False
2026-01-01,S001,P0030,30,0,30,False,False
2026-01-01,S001,P0031,42,0,42,False,False
2026-01-01,S001,P0032,41,0,41,False,False
2026-01-01,S001,P0033,27,0,27,False,False
2026-01-01,S001,P0034,35,1,34,False,False
2026-01-01,S001,P0035,33,0,33,False,False
2026-01-01,S001,P0036,31,0,31,False,False
2026-01-01,S001,P0037,34,0,34,False,False
2026-01-01,S001,P0038,30,0,30,False,False
2026-01-01,S001,P0039,35,0,35,False,False
2026-01-01,S001,P0040,33,0,33,False,False
2026-01-01,S001,P0041,35,0,35,False,False
2026-01-01,S001,P0042,37,1,36,False,False
2026-01-01,S001,P0043,33,0,33,False,False
2026-01-01,S001,P0044,29,0,29,False,False
2026-01-01,S001,P0045,37,0,37,False,False
2026-01-01,S001,P0046,34,0,34,False,False
2026-01-01,S001,P0047,36,0,36,False,False
2026-01-01,S001,P0048,33,0,33,False,False
2026-01-01,S001,P0049,38,0,38,False,False
2026-01-01,S001,P0050,43,1,42,False,False
2026-01-01,S001,P0051,45,0,45,False,False
2026-01-01,S001,P0052,30,0,30,False,False
2026-01-01,S001,P0053,38,0,38,False,False
2026-01-01,S001,P0054,38,0,38,False,False
2026-01-01,S001,P0055,25,0,25,False,False
2026-01-01,S001,P0056,36,2,34,False,False
2026-01-01,S001,P0057,30,0,30,False,False
2026-01-01,S001,P0058,34,0,34,False,False
2026-01-01,S001,P0059,35,0,35,False,False
2026-01-01,S001,P0060,43,0,43,False,False
2026-01-01,S001,P0061,28,0,28,False,False
2026-01-01,S001,P0062,36,2,34,False,False
2026-01-01,S001,P0063,33,1,32,False,False
2026-01-01,S001,P0064,32,0,32,False,False
2026-01-01,S001,P0065,27,0,27,False,False
2026-01-01,S001,P0066,39,0,39,False,False
2026-01-01,S001,P0067,35,0,35,False,False
2026-01-01,S001,P0068,35,0,35,False,False
2026-01-01,S001,P0069,29,0,29,False,False
2026-01-01,S001,P0070,29,0,29,False,False
2026-01-01,S001,P0071,30,0,30,False,False
2026-01-01,S001,P0072,37,1,36,False,False
2026-01-01,S001,P0073,34,0,34,False,False
2026-01-01,S001,P0074,36,0,36,False,False
2026-01-01,S001,P0075,26,0,26,False,False
2026-01-01,S001,P0076,39,1,38,False,False
2026-01-01,S001,P0077,38,0,38,False,False
2026-01-01,S001,P0078,40,0,40,False,False
2026-01-01,S001,P0079,40,0,40,False,False
2026-01-01,S001,P0080,30,5,25,False,False
2026-01-01,S002,P0001,36,1,35,False,False
2026-01-01,S002,P0002,21,0,21,False,False
2026-01-01,S002,P0003,29,0,29,False,False
2026-01-01,S002,P0004,38,2,36,False,False
2026-01-01,S002,P0005,31,0,31,False,False
2026-01-01,S002,P0006,37,0,37,False,False
2026-01-01,S002,P0007,30,1,29,False,False
2026-01-01,S002,P0008,33,0,33,False,False
2026-01-01,S002,P0009,26,0,26,False,False
2026-01-01,S002,P0010,35,3,32,False,False
2026-01-01,S002,P0011,41,0,41,False,False
2026-01-01,S002,P0012,37,0,37,False,False
2026-01-01,S002,P0013,33,0,33,False,False
2026-01-01,S002,P0014,37,0,37,False,False
2026-01-01,S002,P0015,31,1,30,False,False
2026-01-01,S002,P0016,32,0,32,False,False
2026-01-01,S002,P0017,40,0,40,False,False
2026-01-01,S002,P0018,30,0,30,False,False
2026-01-01,S002,P0019,24,2,22,False,False
2026-01-01,S002,P0020,33,1,32,False,False
2026-01-01,S002,P0021,43,0,43,False,False
2026-01-01,S002,P0022,32,0,32,False,False
2026-01-01,S002,P0023,36,0,36,False,False
2026-01-01,S002,P0024,32,0,32,False,False
2026-01-01,S002,P0025,52,0,52,False,False
2026-01-01,S002,P0026,26,0,26,False,False
2026-01-01,S002,P0027,34,0,34,False,False
2026-01-01,S002,P0028,35,0,35,False,False
2026-01-01,S002,P0029,45,0,45,False,False
2026-01-01,S002,P0030,40,0,40,False,False
2026-01-01,S002,P0031,33,0,33,False,False
2026-01-01,S002,P0032,41,0,41,False,False
2026-01-01,S002,P0033,40,0,40,False,False
2026-01-01,S002,P0034,36,0,36,False,False
2026-01-01,S002,P0035,39,0,39,False,False
2026-01-01,S002,P0036,45,0,45,False,False
2026-01-01,S002,P0037,27,2,25,False,False
2026-01-01,S002,P0038,48,2,46,False,False
2026-01-01,S002,P0039,19,0,19,False,False
2026-01-01,S002,P0040,34,0,34,False,False
2026-01-01,S002,P0041,27,0,27,False,False
2026-01-01,S002,P0042,35,0,35,False,False
2026-01-01,S002,P0043,41,0,41,False,False
2026-01-01,S002,P0044,35,0,35,False,False
2026-01-01,S002,P0045,33,0,33,False,False
2026-01-01,S002,P0046,35,0,35,False,False
2026-01-01,S002,P0047,31,2,29,False,False
2026-01-01,S002,P0048,36,1,35,False,False
2026-01-01,S002,P0049,31,0,31,False,False
2026-01-01,S002,P0050,26,0,26,False,False
2026-01-01,S002,P0051,40,0,40,False,False
2026-01-01,S002,P0052,27,3,24,False,False
2026-01-01,S002,P0053,33,0,33,False,False
2026-01-01,S002,P0054,26,0,26,False,False
2026-01-01,S002,P0055,46,2,44,False,False
2026-01-01,S002,P0056,29,0,29,False,False
2026-01-01,S002,P0057,35,0,35,False,False
2026-01-01,S002,P0058,18,0,18,False,False
2026-01-01,S002,P0059,30,0,30,False,False
2026-01-01,S002,P0060,30,3,27,False,False
2026-01-01,S002,P0061,28,2,26,False,False
2026-01-01,S002,P0062,48,0,48,False,False
2026-01-01,S002,P0063,45,0,45,False,False
2026-01-01,S002,P0064,34,0,34,False,False
2026-01-01,S002,P0065,36,0,36,False,False
2026-01-01,S002,P0066,34,0,34,False,False
